Mnemonic,Description
NATURWAR,NATURE IS SURVIVAL OF FITTEST
NATVIEWS,"I HAVE VIEWS   OF NATURE   (TREES,  LAWNS, GARDENS,  WATER,      ETC.) WHEN   I AM  HOME"
NEARGOD,HOW CLOSE DOES R FEEL TO GOD
NEEDYFRD,CONTRIBUTED TO A NEEDY FRIEND.
NEEDYNEI,CONTRIBUTED TO A NEEDY NEIGHBOR.
NEEDYOTH,CONTRIBUTED TO OTHER NEEDY PERSON
NEEDYREL,CONTRIBUTED TO A NEEDY RELATIVE.
NEGJOB5,WAS GAY/LES/BI
NEIETH1,PREFERRED ETHNIC NEIGHBORHOOD
NEIETH10,PREFERRED ETHNIC NEIGHBORHOOD
NEIETH11,PREFERRED ETHNIC NEIGHBORHOOD
NEIETH12,PREFERRED ETHNIC NEIGHBORHOOD
NEIETH13,PREFERRED ETHNIC NEIGHBORHOOD
NEIETH14,PREFERRED ETHNIC NEIGHBORHOOD
NEIETH2,PREFERRED ETHNIC NEIGHBORHOOD
NEIETH3,PREFERRED ETHNIC NEIGHBORHOOD
NEIETH4,PREFERRED ETHNIC NEIGHBORHOOD
NEIETH5,PREFERRED ETHNIC NEIGHBORHOOD
NEIETH6,PREFERRED ETHNIC NEIGHBORHOOD
NEIETH7,PREFERRED ETHNIC NEIGHBORHOOD
NEIETH8,PREFERRED ETHNIC NEIGHBORHOOD
NEIETH9,PREFERRED ETHNIC NEIGHBORHOOD
NEIFRD,NUMBER OF CLOSE FRIENDS WHO LIVE NEAR R
NEIGHBR1,PERSON #1 IS R'S NEIGHBOR
NEIGHBR2,PERSON #2 IS R'S NEIGHBOR
NEIGHBR3,PERSON #3 IS R'S NEIGHBOR
NEIGHBR4,PERSON #4 IS R'S NEIGHBOR
NEIGHBR5,PERSON #5 IS R'S NEIGHBOR
NEISAFE,HOW SAFE INTERVIEWER THINKS NEIGHBORHOOD IS
NERVOUS,IN PAST 30 DAYS FEEL NERVOUS
NEVERWK,R NEVER WORKED FULL-TIME AFTER SCHOOL
NEWAGE,LIKE OR DISLIKE NEW AGE MUSIC
NEWFRDS,"AT THESE OCCASIONS, HOW OFTEN DID R MAKE NEW FRIENDS OR ACQUAINTENCES"
NEWJOB,HOW HELPFUL PRESENT WORK SKILL WOULD BE FOR NEW JOB
NEWJOB12,R USE WEB TO LOOK FOR NEW JOB IN PAST 12 MONTHS
NEWJOBGN,R LOOK FOR NEW JOB PAST YEAR
NEWJOBS,JOBS CREATED ARE BETTER THAN R'S CURRENT JOB
NEWOWNED,WAS THE HOME NEW OR PREVIOUSLY OWNED?
NEWS,HOW OFTEN DOES R READ NEWSPAPER
NEWS12,PAST 12 MONTHS R WEB TO LEARN NEWS
NEWS30,R USE NEWS SITE IN PAST 30 DAYS
NEWSFRMY,WHERE NEWS EVENTS INFO
NEWSFROM,MAIN SOURCE OF INFORMATION ABOUT EVENTS IN THE NEWS
NEWSGRPS,HOW FAMILIAR R IS WITH TERM NEWSGROUPS
NEWSKILL,I WOULD ACCEPT JOB THAT REQUIRES NEW SKILLS
NEWSPRNT,HOW OFTEN DOES R READ TRADITIONAL NEWSPAPER
NEWUSED,WAS THE CAR NEW OR USED?
NEXTDOOR,HOW WILLING R MOVE NEXT DOOR TO CHILD'S FAMILY
NEXTGEN,SCIENCE & TECH. GIVE MORE OPPORTUNITIES TO NEXT GENERATION
NIECENEP,HOW OFTEN DOES R CONTACT NIECES AND NEPHEWS
NIHILISM,LIFE SERVES NO PURPOSE
NIRVANA,BELIEVE IN NIRVANA
NOATHOME,MISS A FAMILY OCCASION OR HOLIDAY?
NOBILING,BILINGUAL EDUCATION SHOULD BE ABOLISHED
NOBUYGRN,HOW OFTEN AVOID PRODUCTS
NOCHEER,IN PAST 30 DAYS FEEL SAD
NOEMOTE,I KEEP MY EMOTIONS TO MYSELF.
NOGO,PERF OR EXHIBIT R WANTED TO GO TO IN PAST 12 MONTHS BUT DID NOT
NOGO1,PERFORMANCE OR EXHIBIT
NOGOOD,AT TIMES I THINK I AM NO GOOD AT ALL
NOGOVT,NO GOVT INTERFERENCE IMPORTANT FOR FREEDOM
NOHMEWRK,UNABLE TO DO THE WORK AROUND THE HOUSE?
NOICECAP,EFFECT OF GLOBAL WARMING: NORTHERN ICE CAP MELT
NOKIDS,DESIRABILITY OF NO-KID FAMILY
NOMEAT,REFUSE TO EAT MEAT FOR ENVIR REASONS
NONUKE,POSSIBILITY ELIMINATING ATOMIC WEAPONS
NONURSE,UNABLE TO CARE FOR A SICK CHILD-RELATIVE?
NOONEBEN,NO ONE BENEFIT FROM TRADITIONAL FAMILY
NOONEHRT,NO ONE HURT FROM TRADITIONAL FAMILY
NOPLAN,THERE'S NO SENSE PLANNING A LOT
NOSMOKE,GOV SHOULD PROHIBIT SMOKING IN PUB AREAS
NOSUN,TRUE-FALSE: THE SUN NEVER SHINES AT THE SOUTH POLE
NOTAM,"IF NOT AMERICAN, HOW MUCH CHANGE"
NOTCOUNT,I RARELY COUNT ON GOOD THINGS HAPPENING TO ME
NOTICED,PEOPLE USUALLY NOTICE WHEN I DO MY JOB WELL
NOTLOYAL,FEEL VERY LITTLE LOYALTY TO THIS ORG.
NOTREAT,REFUSE TREATMENT EXCEPT PAIN RELIEF
NOTSMART,PEOPLE ACT AS IF THEY THINK R IS NOT SMART
NOTTHINK,CATHOLICS ARE NOT PERMITTED TO THINK
NOTUPSET,DON'T TELL FRIENDS SOMETHING UPSETTING
NOTVOTE,CITIZENS HAVE RIGHT NOT TO VOTE
NOTWORRY,"WHEN ANXIOUS, TRY NOT TO WORRY ANYONE ELSE."
NOUNEMP1,R WOULD ACCEPT JOB REQUIRING NEW SKILL TO AVOID UNEMPLOYMENT
NOUNEMP2,R WOULD ACCEPT POSITION WITH LOWER PAY TO AVOID UNEMPLOYMENT
NOUNEMP3,R WOULD ACCEPT TEMPORARY EMPLOYMENT TO AVOID UNEMPLOYMENT
NOUNEMP4,R WOULD ACCEPT TRAVEL LONGER TO WORK TO AVOID UNEMPLOYMENT
NOUNEMP5,I WOULD MOVE WITHIN THE USA FOR WORK
NOUNEMP6,I WOULD MOVE OUTSIDE THE USA FOR WORK
NTCITVTE,LONG-TERM RESIDENTS SHOULD VOTE
NTWKHARD,PAST WEEK NOT WORK HARD ENOUGH
NUCLRWAR,NUCLEAR WAR MORE THREAT 10 YRS AGO
NUKEACC,LIKELIHOOD OF NUCLEAR MELTDOWN IN 5 YEARS
NUKEELEC,VIEW ABOUT NUCLEAR ENERGY
NUKEFAM,NUKE POWER DANGER TO MY FAMILY
NUKEGEN,NUKE POWER DANGER TO ENVIR
NUKEWAR,POSSIBILITY OF AN ALL-OUT ATOMIC WAR
NUMBWFRD,GOOD FRIENDS WHO ARE WHITE-BLACK
NUMCHURH,HOW MANY R BELONGS TO CHURCH AFFILIATE GROUPS
NUMCLERG,WITH HOW MANY DIFFERENT LEADERS HAS THIS HAPPENED TO YOU
NUMCNTCT,HOW MANY PEOPLE IN CONTACT LEAST ONCE A YEAR
NUMCONG,NUMBER OF MEMBERS OF THE CONGREGATION
NUMDAYS,NUMBER OF DAYS ATTENDED RELIGIOUS SERVICES
NUMEMP,FOR HOW MANY EMPLOYERS EVER WORKED FULL TIME
NUMEMPLY,NUMBER OF PERSONS R EMPLOYS
NUMEMPS,NUMBER OF EMPLOYEE FOR THE SELF-EMPLOYED
NUMEMPS5,HOW MANY PEOPLE R EMPLOYS 5 YRS AFTER
NUMFARM,HOW MANY R BELONGS TO FARM ORGANIZATIONS
NUMFRAT,HOW MANY R BELONGS TO FRATERNAL GROUPS
NUMFREND,ABOUT HOW MANY GOOD FRIENDS DO YOU HAVE
NUMGIVEN,NUMBER OF PERSONS MENTIONED
NUMGREEK,HOW MANY R BELONGS TO SCHOOL FRATERNITIES
NUMHOBBY,HOW MANY R BELONGS TO HOBBY CLUBS
NUMHOME,HOW MANY COMPUTERS AT HOME
NUMINFRM,HOW MANY R BELONGS TO INFORMAL GROUPS
NUMKIDS,WHAT IS IDEAL NUMBER OF KIDS FOR FAMILY
NUMKNOWN,VARIABLE THAT DRIVES SKIPS IN MODULE
NUMLANGS,HOW MANY LANGUAGES DOES R SPEAK WELL ENOUGH TO HOLD A CONVERSATION IN?
NUMLIT,HOW MANY R BELONGS TO LITERARY GROUPS
NUMMEN,NUMBER OF MALE SEX PARTNER'S SINCE 18
NUMNAT,HOW MANY R BELONGS TO NATIONALITY GROUPS
NUMORG,NUMBER OF PEOPLE WORKING IN ORGANIZATION AT ALL LOCATIONS
NUMOTHER,HOW MANY R BELONGS TO OTHER GROUPS
NUMOWN,NUMBER OF BUSINESSES YOU OWN AND MANAGE
NUMPETS,HOW MANY PETS R'S FAMILY HAS
NUMPOLIT,HOW MANY R BELONGS TO POLITICAL CLUBS
NUMPROBS,HOW MANY FRIENDS CLOSE TO DISCUSS PROBLEMS
NUMPROF,HOW MANY R BELONGS TO PROFESSIONAL SOCIETIES
NUMPROMO,#PROMOTIONS HAVE YOU RECEIVED
NUMRBORN,HOW MANY BORN-AGAIN EXPERIENCE R HAD
NUMRELEX,NUMBER OF REAL EXPERIENCE THAT CHANGED R'S LIFE
NUMSCHL,HOW MANY R BELONGS TO SCHOOL SERVICE GROUPS
NUMSERV,HOW MANY R BELONGS TO SERVICE CLUBS
NUMSITES,DOES R'S FIRM HAVE MORE THAN ONE LOCATION
NUMSPORT,HOW MANY R BELONGS TO SPORTS GROUPS
NUMUNEMP,HOW MANY TIMES UNEMPLOYED MORE THAN TWO WEEKS
NUMUNION,HOW MANY R BELONGS TO LABOR UNIONS
NUMVET,HOW MANY R BELONGS TO VETERANS GROUPS
NUMWOMEN,NUMBER OF FEMALE SEX PARTNER'S SINCE 18
NUMYOUTH,HOW MANY R BELONGS TO YOUTH GROUPS
NURSE,WOMEN AS NURSES IN COMBAT ZONE
OB911,OBLIGATION--REPORTING A CRIME
OBENG,OBLIGATION--BEING ABLE TO SPEAK ENGLISH
OBEY,TO OBEY
OBEYLAW,SHOULD PEOPLE OBEY LAWS WITHOUT EXCEPTN?
OBEYLAWS,HOW IMPORTANT ALWAYS TO OBEY LAWS
OBEYS,OBEYS PARENTS WELL
OBEYSY,OBEYS PARENTS WELL-VERSION Y
OBEYSZ,OBEYS PARENTS WELL-VERSION Z
OBEYTCH,IMPORTANT TO OBEY CHURCH TEACHINGS
OBEYTHNK,SHOULD CHLDRN BE OBEDIENT OR THINK FOR SELVES
OBFEPAX,OBLIGATION--PEACETIME MIL SERVICE-FEMALE
OBFEWAR,OBLIGATION--WARTIME MIL SERVICE-FEMALE
OBJURY,OBLIGATION--JURY DUTY
OBKNOW,OBLIGATION--KEEPING INFORMED
OBMEPAX,OBLIGATION--PEACETIME MIL SERVICE-MEN
OBMEWAR,OBLIGATION--WARTIME MIL SERVICE-MEN
OBRESPCT,TEACH CHILDREN RESPECT FOR AUTHORITY AND OBEDIENCE
OBTOHELP,OBLIGATION TO CARE FOR ILL PARENT OR SPOUSE?
OBVOL,OBLIGATION--COMMUNITY SERVICE
OBVOTE,OBLIGATION--VOTING IN ELECTIONS
OCC,R'S CENSUS OCCUPATION CODE (1970)
OCC10,R'S CENSUS OCCUPATION CODE (2010)
OCC80,R'S CENSUS OCCUPATION CODE (1980)
OCCFIRST,R FIRST OCCUPATION
OCCINDV,R'S OCC/IND VERBATIM RETRIEVED
OCCMOBIL,STATUS OF JOB HIGHER THAN FATHER'S?
OCCONET,OCCUPATION CODE BASED ON O*NET
OCCSTATUS,OCC10 CODING STATUS
OCCTAG,OCC10 CODING TAG
OCCTRAIN,GONE THRU SPECIALIZED TRAINING
OCCYRS,HOW MANY YEARS IN YOUR OCCUPATION
ODDS1,TEST OF KNOWLEDGE ABOUT PROBABLITY1
ODDS2,TEST OF KNOWLEDGE ABOUT PROBABLITY2
OFFSUP,DO YOU SUPERVISE THE WORK OF OTHER EMPLOYEES
OFWORTH,I AM A PERSON OF WORTH AT LEAST EQUAL TO OTHERS
OLD1,AGE OF 1ST PERSON
OLD10,AGE OF 1OTH PERSON
OLD11,AGE OF 11TH PERSON (VISITOR)
OLD12,AGE OF 12TH PERSON (VISITOR)
OLD13,AGE OF 13TH PERSON (VISITOR)
OLD14,AGE OF 14TH PERSON (VISITOR)
OLD2,AGE OF 2ND PERSON
OLD3,AGE OF 3RD PERSON
OLD4,AGE OF 4TH PERSON
OLD5,AGE OF 5TH PERSON
OLD6,AGE OF 6TH PERSON
OLD7,AGE OF 7TH PERSON
OLD8,AGE OF 8TH PERSON
OLD9,AGE OF 9TH PERSON
OLDIES,LIKE OR DISLIKE OLDIES ROCK MUSIC
ONEKID,DESIRABILITY OF ONE-KID FAMILY
ONENATN,ONE NATION OR ALLOWED TO BECOME FULLY SEPARATE?
ONGOREL1,R HAD AN ONGOING RELATIONSHIP WITH LEADER1
ONGOREL2,R HAD AN ONGOING RELATIONSHIP WITH LEADER2
ONGOREL3,R HAD AN ONGOING RELATIONSHIP WITH LEADER3
ONLINE,HAS R USED ONLINE HELP FOR SOFTWARE
OPABLE,NEED NATURAL ABILITY TO GET AHEAD
OPAMBIT,NEED AMBITION TO GET AHEAD
OPCLOUT,NEED POLITICAL CONNECTIONS TO GET AHEAD
OPDEVEL,OPPORTUNITY TO DEVELOP MY ABILITIES
OPEDUC,NEED GOOD EDUCATION TO GET AHEAD
OPENMIND,TREAT DISSENTERS WITH LENIENCY
OPENREL1,R AND LEADER EVER BECOME AN OPENLY ACKNOWLEDGED COUPLE
OPENREL2,R AND LEADER EVER BECOME AN OPENLY ACKNOWLEDGED COUPLE
OPENREL3,R AND LEADER EVER BECOME AN OPENLY ACKNOWLEDGED COUPLE
OPERA,LIKE OR DISLIKE OPERA
OPFAMILY,FAMILY BKGD DETERMINES SUCCESS IN U.S.
OPHRDWRK,NEED TO WORK HARD TO GET AHEAD
OPKNOW,NEED TO KNOW RIGHT PEOPLE TO GET AHEAD
OPOUTCME,SHOULD AMER PROMOTE EQ OPPTY OR EQ OUTCOMES?
OPPARED,NEED EDUCATED PARENTS TO GET AHEAD
OPPOL,MUST HAVE CERTAIN POLVIEWS TO GET AHEAD
OPPROF,CHILD OF PROFSSNL HAS BETTER OPPORTUNITY
OPPSEGOV,HOW IMPORTANT: CITIZEN ENGAGE IN ACTS OF CIVIL DISOBEYED
OPRACE,NEED TO BE RIGHT RACE TO GET AHEAD
OPREGION,MUST BE FROM RIGHT REGION TO GET AHEAD
OPRELIG,NEED TO BE RIGHT RELIGION TO GET AHEAD
OPRICH,CHILD OF RICH HAS BETTER OPPORTUNITY
OPS2005,COMPANY GRANTED R STOCK OPTIONS IN 2005
OPSEX,NEED TO BE RIGHT SEX TO GET AHEAD
OPTIMIST,I AM ALWAYS OPTIMISTIC ABOUT MY FUTURE
OPWLTH,NEED WEALTHY FAMILY TO GET AHEAD
ORGANSB,WHICH PROCEDURES BE USED TO ASSIGN THE ORGAN
ORGANSW,WHICH OF THESE PROCEDURES WOULD BE THE WORST?
ORGFIN,R'S FINANCIAL SITUATION AFTER ORG. CHANGES
ORGMONEY,PARTICIPATE IN DECISIONS ABOUT ORG'S MONEY
ORGSIZE,HOW MANY PEOPLE EMPLOYED IN THE ENTIRE ORG
ORHEALER,IN WHAT ORDER GO TO A SPIRITUAL OR A NATURAL HEALER
ORMEDDOC,IN WHAT ORDER GO TO A GENERAL MEDICAL DOCTOR
ORMNTLDC,IN WHAT ORDER GO TO A PSYCHIATRIST FOR HELP
ORMNTLHS,IN WHAT ORDER CHECK INTO A MENTAL HOSPITAL
ORMNTLOT,"IN WHAT ORDER GO TO A THERAPIST, OR COUNSELOR"
OROTCMED,IN WHAT ORDER TAKE NON-PRESCRIPTION MEDICATION
ORRXMED,IN WHAT ORDER TAKE PRESCRIPTION MEDICATION
ORSLFHLP,IN WHAT ORDER JOIN A SELF-HELP GROUP
ORTLKCLR,"IN WHAT ORDER TALK TO A MINISTER, PRIEST, RABBI ETC"
ORTLKFM,IN WHAT ORDER TALK THINGS OVER WITH FAMILY & FRIENDS
OTCMED,X SHOULD TAKE NON-PRESCRIPTION MEDICATION
OTH1,BEING DISCRIMINATED AGAINST
OTH16,OTHER PROTESTANT DENOMINATIONS
OTH2,UNABLE TO GET TO SCHOOL
OTH3,CHILD HAVE TROUBLE IN SCHOOL
OTH4,NEED BUT UNABLE TO USE PUBLIC TRANSPORT.
OTH5,DO NOT HAVE A CAR
OTHBEST,WHAT LANGUAGE OTHER THAN ENGLISH DOES R SPEAK B
OTHCHRCH,HAPPY IN OTHER NON CATHOLIC CHURCH
OTHCREDT,OTHER PEOPLE TAKE CREDIT FOR R'S WORK OR IDEAS
OTHDUTY1,YOU TRAIN EMPLOYEES SAFE USE EQUIP. NOT SUPERVISE
OTHDUTY2,"YOU TRAIN EMPLOYEES IN OTHER WAYS, NOT SUPERVISE"
OTHDUTY3,"YOU ORGANIZE SCHEDULES OR TASKS, NOT SUPERVISE"
OTHDUTY4,"YOU DEVISE NEW WAYS OF DOING TASKS, NOT SUPERVISE"
OTHDUTY5,"YOU CHECK PROGRESS OR ATTENDANCE, NOT SUPERVISE"
OTHDUTY6,"YOU EVALUATE JOB PERFORMANCE, NOT SUPERVISE"
OTHDUTY7,"YOU PROMOTE OR DISCIPLINE ACTIONS, NOT SUPERVISE"
OTHER,OTHER PROTESTANT DENOMINATIONS
OTHER1,PERSON #1 IS OTHER TYPE OF ACQUAINTANCE
OTHER2,PERSON #2 IS OTHER TYPE OF ACQUAINTANCE
OTHER3,PERSON #3 IS OTHER TYPE OF ACQUAINTANCE
OTHER4,PERSON #4 IS OTHER TYPE OF ACQUAINTANCE
OTHER5,PERSON #5 IS OTHER TYPE OF ACQUAINTANCE
OTHERSEX,R HAD SEX WITH SOME OTHER LAST YEAR
OTHERWRK,DOES R HAVE ANY ADDITIONAL JOB
OTHFAM1,PERSON #1 IS R'S FAMILY MEMBER
OTHFAM2,PERSON #2 IS R'S FAMILY MEMBER
OTHFAM3,PERSON #3 IS R'S FAMILY MEMBER
OTHFAM4,PERSON #4 IS R'S FAMILY MEMBER
OTHFAM5,PERSON #5 IS R'S FAMILY MEMBER
OTHFRD,NUMBER OF OTHER CLOSE FRIENDS
OTHGUNS,NUMBER OF ADULT OWING A GUN IN HOUSEHOLD
OTHHOME,R SPEAKS OTHER LANGUAGE AT HOME
OTHHRS,HOURS R SPENDS AT OTHER JOB<S>
OTHJEW,CONSIDER SELF TO BE JEWISH
OTHJEW16,R RAISED AS A JEW
OTHKIDS,PARENT
OTHLANG,CAN R SPEAK LANGUAGE OTHER THAN ENGLISH/SPANISH
OTHLANG1,WHAT OTHER LANGUAGES DOES R SPEAK
OTHLANG2,WHAT OTHER LANGUAGES DOES R SPEAK
OTHLOBBY,HAS R LOBBIED HIGHER LEVEL OFFICIALS
OTHMHNEG,R'S OTHER ACQUAINTENCES NEGATIVE ATTITUDES ABOUT MH PROBLEMS
OTHPAY,"GET COMMISSIONS, BONUSES, TIPS FROM MAIN JOB"
OTHPET,OTHER PET
OTHPETB4,OTHER PET
OTHPLAN,OTHER NAME FOR INSURANCE OR HMO POLICY
OTHREASN,HOW IMPORTANT TO TRY TO UNDR'STND REASONING OF OTHR O
OTHREL,ATTEND SOME OTHER TYPE OF RELIGIOUS EVENT
OTHREL1,WHAT TYPE OF RELIGIOUS EVENTS OR MEETINGS
OTHREL2,WHAT TYPE OF RELIGIOUS EVENTS OR MEETINGS
OTHREL3,WHAT TYPE OF RELIGIOUS EVENTS OR MEETINGS
OTHRESP,HOW RESP. PERSON WHO YOU WERE ANGRY AT?
OTHSCH,CHILDREN ATTEND OTHER SCHOOL
OTHSELF,WAS THIS PROB OF NARROW OR WIDE CONCERN
OTHSHELP,PEOPLE SHOULD HELP LESS FORTUNATE OTHERS
OTHSSAME,NO SAVING ENVIRONMENT UNLESS OTHERS DO SAME
OTHYRS,YEARS WORKED FULL TIME AT OTHER PARTS OF ORG
OTJTRAIN,RECEIVED ANY ON-THE-JOB TRAINING
OUTOFBIZ,THE ORGANIZATION WENT OUT OF BUSINESS
OUTRAGED,FELT OUTRAGED AT SOMETHING SOMEBODY
OUTSIDER,GETTING MENTAL HEALTH TREATMENT MAKE CHILD AN
OVERSAMP,WEIGHTS FOR BLACK OVERSAMPLES
OVERWORK,R HAS TOO MUCH WORK TO DO WELL
OVRJOYED,FELT OVERJOYED ABOUT SOMETHING?
OVRMEDKD,DOCS ARE OVER MEDICATING CHILD WITH COMMON PROBLEM
OWNAUTOS,GOVTS ROLE IN AUTOMOBILE INDUSTRY
OWNBANKS,GOVTS ROLE IN BANKING AND INSURANCE
OWNBIZ,R OWNS BUSINESS
OWNCLERG,DID THIS HAPPEN WITH A LEADER IN CONGREGATION R WAS ATTENDING
OWNDOING,DEGREE OF INFLUENCE OVER WHAT HAPPENS TO ME
OWNETH,DO ETHIC POLITICIANS SERVE ETHNIC GROUPS BETTER
OWNFATE,WE EACH MAKE OUR OWN FATE
OWNGUN,HAVE GUN IN HOME
OWNHH,YOUNG SHOULD NOT LIVE WITH PARENTS
OWNHH1,AGED SHOULD STOP LIVING WITH PARENTS
OWNINC,AMT OF HOUSEHOLD INCOME COMING FROM THIS BUSINESS
OWNMASS,GOVTS ROLE IN LOCAL MASS TRANSPORTATION
OWNPOWER,GOVTS ROLE IN ELECTRIC POWER
OWNSTEEL,GOVTS ROLE IN THE STEEL INDUSTRY
OWNSTOCK,R HAS STOCK IN R'S COMPANY
OWNTHING,YOUTHFUL PROTEST IS GOOD
PAATTEND,HOW OFTEN PA ATTENDED RELIGIOUS SERVICES
PACALL,CONTACT WITH FATHER
PACALL1,HOW OFTEN DOES R CONTACT FATHER BY TELEPHONE
PADEATH,DEATH OF FATHER
PADEG,FATHER'S HIGHEST DEGREE
PADEN,WHAT WAS FATHER'S RELIGIOUS DENOMINATION
PADENKID,"IF PROTESTANT, FATHER'S DENOMINATION"
PADOTDAT,FA. D.O.T. CODE - RELATION TO DATA
PADOTGED,FA. D.O.T. CODE - GENERAL EDUC DEVELOP.
PADOTPEO,FA. D.O.T. CODE - RELATION TO PEOPLE
PADOTPRE,FA. TEMME PRESTIGE SCALE
PADOTSVP,FA. D.O.T. CODE - SPECIFIC VOCAT. PREP
PADOTTHN,FA. D.O.T. CODE - RELATION TO THINGS
PAEDUC,"HIGHEST YEAR SCHOOL COMPLETED, FATHER"
PAFUND,HOW FUNDAMENTALIST WAS R'S FATHER
PAIDEMPS,R HAS PAID EMPLOYEES
PAIDHOW,HOW ARE YOU PAID
PAIDLV,PAID LEAVE FOR CHILDCARE
PAIDLV1,MONTHS OF LEAVE THAT SHOULD BE AVAILABLE
PAIDLVDV,MOTHER OR FATHER PAID LEAVE
PAIDLVPY,WHO PAYS FOR LEAVE
PAIDSEX,R HAD SEX FOR PAY LAST YEAR
PAIN,PAIN INTERFERE WITH WORK PAST 4 WKS
PAINARMS,R HAD PAIN IN THE ARMS IN THE PAST 12 MONTHS
PAINCURE,TREATMENT FOR PAIN CURE CONDITION
PAIND10,FATHER'S INDUSTRY CODE (NAICS 2007)
PAIND16,FATHER'S INDUSTRY CODE (1970)
PAIND80,FATHER'S INDUSTRY CODE (1980)
PAINDSTATUS,PAIND10 CODING STATUS
PAINDTAG,PAIND10 CODING TAG
PAINFAM,TREATMENT FOR PAIN IMPROVE FAMILY RELATIONS
PAINFEEL,TREATMENT FOR PAIN IMPROVE FEELING ABOUT SE
PAINMED,ASK DOCTORS TO INCREASE PAIN MEDICATION
PAINQOL,TREATMENT FOR PAIN IMPROVE QUALITY OF LIFE
PAINRELY,TREATMENT FOR PAIN RELY LESS ON OTHERS
PAISC681,"R'S FATHER'S OCCUPATION, 1980 CENSUS"
PAISCO08,"R'S FATHER'S OCCUPATION, 2010 CENSUS & 2008 ISCO CODE"
PAISCO68,"R'S FATHER'S OCCUPATION, 1970 CENSUS"
PAISCO88,"R'S FATHER'S OCCUPATION, 1980 CENSUS & 1988 ISCO CODE"
PAJEW,WHAT SORT OF JEW WAS R'S FATHER
PAJOB,TYPE OF JOB HELD BY FATHER WHEN R 16
PAJWOTH,R'S DAD WAS JEWISH WHEN R WAS GROWING UP
PALEFULL,AFTERLIFE CONTRAST: SHADOWS OR FULL
PALIVE,FATHER STILL ALIVE?
PALIVE1,R FATHER ALIVE
PAOCC10,FATHER'S CENSUS OCCUPATION CODE (2010)
PAOCC16,FATHER'S CENSUS OCCUPATION CODE (1970)
PAOCC80,FATHER'S CENSUS OCCUPATION CODE (1980)
PAOCCINDV,FATHER'S OCC/IND VERBATIM RETRIEVED
PAOCCSTATUS,PAOCC10 CODING STATUS
PAOCCTAG,PAOCC10 CODING TAG
PAOTH,OTHER PROTESTANT DENOMINATION FOR FATHER
PAPRES10,FATHER'S OCCUPATIONAL PRESTIGE SCORE (2010)
PAPRES105PLUS,FATHER'S OCCUPATIONAL PRESTIGE SCORE USING THRESHOLD METHOD (2010)
PAPRES16,FATHER'S OCCUPATIONAL PRESTIGE SCORE (1970)
PAPRES80,FATHER'S OCCUPATIONAL PRESTIGE SCORE (1980)
PARBORN,WERE R'S PARENTS BORN IN THIS COUNTRY
PARCIT,WERE YOUR PARENTS CITIZENS OF AMERICA?
PARELIG,WHAT WAS FATHER'S RELIGIOUS PREFERENCE
PARELKID,FATHER'S RELIGION WHEN R WAS CHILD
PARENT1,PERSON #1 IS R'S PARENT
PARENT2,PERSON #2 IS R'S PARENT
PARENT3,PERSON #3 IS R'S PARENT
PARENT4,PERSON #4 IS R'S PARENT
PARENT5,PERSON #5 IS R'S PARENT
PARFIN,HARD FOR PARENTS TO MAKE ENDS MEET
PARGOVT,GOVT TOO INVOLVED IN FAMILY LIFE
PARHARDR,BEING PARENT NOW HARDER
PARLANG,R'S PARENTS SPEAK OTHER LANGUAGE AT HOME
PARLEAVE,OFFER PAID TIME OFF TO NEW PARENTS.
PARRGHT,PARENTS UNSURE WHAT IS RIGHT
PARSLAW,HOW OFTEN DOES R CONTACT PARENTS-IN-LAW
PARSOL,R'S LIVING STANDARD COMPARED TO PARENTS
PARTAXES,TAXES REDUCE CHILDBEARING
PARTFULL,WAS R'S WORK PART-TIME OR FULL-TIME?
PARTIME,PARENTS DON'T SPEND TIME WITH KIDS
PARTLSC,"IN PAST 12 MONTHS, R HAS PARTICIPATED IN       ORGS  FOR  SPORT, CULTURE,  LEISURE"
PARTNERS,HOW MANY SEX PARTNER'S R HAD IN LAST YEAR
PARTNRS5,HOW MANY SEX PARTNER'S R HAD IN LAST 5 YEARS
PARTOPEN,NUMBER OF SEX PARTNER'S LAST YEAR
PARTOPN5,NUMBER OF SEX PARTNER'S LAST 5 YEARS
PARTORG,IN WHAT WAYS PART OF THE LARGER ORG
PARTPART,ASSOCIATIONS
PARTPOL,POLITICAL PARTICIPATION IMPORTANT FOR FREEDOM
PARTTEAM,R WORK AS PART OF A TEAM
PARTTHON,HAVE PARTICIPATED IN A WALKATHON OVER PAST 5 YEARS
PARTVOL,"IN PAST 12 MONTHS, R HAS PARTICIPATED IN CHARITABLE OR RELIGIOUS VOLUNTEER ORGS"
PARTYID,POLITICAL PARTY AFFILIATION
PARTYID1,PARTY ID OF PERSON #1
PARTYID2,PARTY ID OF PERSON #2
PARTYID3,PARTY ID OF PERSON #3
PARWHERE,PARENTS DON'T KNOW WHERE KIDS ARE
PARWORK,"IF PARENTS WORK, KIDS GET IN TROUBLE"
PARWORSE,PARENTS DOING WORSE THAN BEFORE
PASEI,R'S FATHER'S SOCIOECONOMIC INDEX (1980)
PASEI10,R'S FATHER'S SOCIOECONOMIC INDEX (2010)
PASEI10EDUC,PERCENTAGE OF SOME COLLEGE EDUC IN PAOCC10 BASED ON ACS 2010
PASEI10INC,PERCENTAGE OF $45K+ EARNERS IN PAOCC10 BASED ON ACS 2010
